ID;NAME;DESCRIPTION;PRICE;INFO
1;Oulu City Library;Main City Library with free Wi-Fi;free;Kaarlenväylä 3
2;Oulun Taidemuseo;Oulu Museum of Art;$;Kasarmintie 9
3;Oulun Teatteri;Theater;$$;Kaarlenväylä 2
4;Ainolan puisto;Outside park;free;
5;Kiikeli;Outside park;free;
6;Swimming pool Raksila;Swimming;$;Pikkukankaantie 3
7;Finnkino;Movie Theater;;Torikatu 32
8;Star;Movie Theater;;Kalliotie 6
9;Tori Market place;Summer market shops place;;Kauppatori
10;;;;
11;Cultural Centre Valve;Cultural center: theatre stages, a cinema, galleries, workshops ;;Hallituskatu 7
12;Tietomaa Science Centre;Tietomaa is a science centre in Oulu;;Nahkatehtaankatu 6
13;Nallikari Beach;Beach;;Nallikarinranta
14;Hupisaaret Islands;The Hupisaaret Islands City Park is a public urban park in the Myllytulli district in central Oulu;;City center
15;Botanical Gardens (University of Oulu);Scientific gardens;;Kaitoväylä 5
16;Northern Ostrobothnia Museum;Museum of cultural history;;Ainolanpolku 1
17;Ouluhalli;Multi-purpose hall for sports, and events;;Ouluhallintie 20
